categorySlug,region,Comercio,sale,sessions,quote,inauguration_year,furnitureWithEquipment,merchandise,surface,gross_income,GoogleDisplay,adwords,bing,facebook,hs_automation,hubspot
varios,Castile_and_Leon,1.0,0,1.0,1,1995.0,3000.0,3000.0,140.0,30000.0,0,1,0,0,0,0
hosteleria-y-restauracion,Catalonia,1.0,0,1.0,1,90.0,100000.0,3000.0,50.0,3000.0,0,0,1,0,0,0
alimentacion-y-dietetica,Andalusia,1.0,0,1.0,1,1980.0,6000.0,3000.0,20.0,80000.0,0,1,0,0,0,0
varios,Catalonia,1.0,0,6.0,1,1960.0,10000.0,3000.0,125.0,100000.0,0,1,0,0,0,0
servicios-sanitarios,Catalonia,1.0,0,3.0,0,1998.0,3000.0,6000.0,70.0,267000.0,0,1,0,0,0,0
varios,Catalonia,1.0,0,7.0,0,1960.0,4000.0,5000.0,45.0,7000.0,0,0,0,1,0,0
calzado-marroqueria-y-piel,Andalusia,1.0,0,1.0,1,2011.0,3000.0,5000.0,20.0,12000.0,0,1,0,0,0,0
servicios-sanitarios,Galicia,1.0,0,1.0,0,1990.0,30000.0,3000.0,45.0,50000.0,0,1,0,0,0,0
varios,Galicia,1.0,0,5.0,1,1990.0,3000.0,6000.0,20.0,24000.0,0,0,0,1,0,0
servicios-sanitarios,Valencian_Community,1.0,0,1.0,0,2017.0,3000.0,3000.0,50.0,24000.0,0,1,0,0,0,0
calzado-marroqueria-y-piel,Andalusia,1.0,0,1.0,0,1995.0,3000.0,15000.0,105.0,3000.0,0,1,0,0,0,0
varios,Andalusia,1.0,0,1.0,1,1970.0,7000.0,3000.0,50.0,13000.0,0,0,0,0,0,1
calzado-marroqueria-y-piel,Canary_Islands,1.0,0,1.0,0,1930.0,30000.0,1200000.0,150.0,90000.0,0,1,0,0,0,0
alimentacion-y-dietetica,Andalusia,1.0,0,1.0,1,1990.0,8000.0,3000.0,65.0,25000.0,0,1,0,0,0,0
calzado-marroqueria-y-piel,Valencian_Community,1.0,0,1.0,1,1965.0,3000.0,20000.0,80.0,3000.0,0,1,0,0,0,0
alimentacion-y-dietetica,Catalonia,1.0,0,5.0,1,1975.0,10000.0,5000.0,30.0,60000.0,0,1,0,0,0,0
varios,Madrid,1.0,0,2.0,1,2019.0,6000.0,30000.0,20.0,30000.0,0,1,0,0,0,0
servicios-sanitarios,Andalusia,1.0,0,5.0,1,1986.0,25000.0,5000.0,50.0,60000.0,0,1,0,0,0,0
varios,Madrid,1.0,0,1.0,0,1950.0,5000.0,10000.0,60.0,85000.0,0,1,0,0,0,0
varios,Galicia,1.0,0,1.0,1,2000.0,3000.0,10000.0,280.0,60000.0,0,1,0,0,0,0
calzado-marroqueria-y-piel,Valencian_Community,1.0,0,1.0,0,1960.0,12000.0,3000.0,500.0,18000.0,0,1,0,0,0,0
varios,Murcia,1.0,1,1.0,1,1955.0,3000.0,3000.0,260.0,3000.0,0,1,0,0,0,0
servicios-sanitarios,Madrid,1.0,0,7.0,1,1950.0,80000.0,3000.0,95.0,120000.0,0,1,0,0,0,0
varios,Madrid,1.0,0,3.0,1,1991.0,20000.0,19999.0,40.0,5000.0,0,1,0,0,0,0
varios,Aragon,1.0,0,5.0,1,1963.0,7000.0,9000.0,80.0,12000.0,0,1,0,0,0,0
hosteleria-y-restauracion,Catalonia,1.0,0,1.0,0,1950.0,3000.0,5000.0,50.0,60000.0,0,1,0,0,0,0
profesionales-economia,Andalusia,0.0,0,1.0,1,2000.0,12000.0,3000.0,40.0,150000.0,0,0,0,1,0,0
hosteleria-y-restauracion,Andalusia,1.0,0,1.0,0,1995.0,3000.0,3000.0,50.0,50000.0,0,1,0,0,0,0
alimentacion-y-dietetica,Andalusia,1.0,0,1.0,1,2002.0,20000.0,10000.0,80.0,240000.0,0,1,0,0,0,0
varios,Valencian_Community,1.0,0,1.0,0,1976.0,3000.0,3000.0,50.0,6000.0,0,0,0,0,0,1
calzado-marroqueria-y-piel,Extremadura,1.0,0,1.0,0,2008.0,3000.0,1900090.0,20.0,78899.0,0,0,1,0,0,0
varios,Madrid,1.0,0,1.0,1,2000.0,20000.0,10000.0,20.0,130000.0,0,0,0,1,0,0
varios,Valencian_Community,1.0,0,1.0,1,2020.0,3000.0,3000.0,20.0,7000.0,0,1,0,0,0,0
servicios-sanitarios,Valencian_Community,1.0,0,1.0,0,1970.0,15000.0,3000.0,95.0,36000.0,0,1,0,0,0,0
negocio-inmobiliario,Basque_Country,1.0,0,6.0,0,1980.0,3000.0,3000.0,85.0,3000.0,0,1,0,0,0,0
negocio-inmobiliario,Valencian_Community,1.0,0,9.0,1,1980.0,8000.0,30000.0,120.0,60000.0,0,1,0,0,0,0
